context,response,context_html,speaker,DialoGPT,BlenderBot-3B,COSMO-3B,GODEL-L
"[""Uh-oh . We don't have a flashlight . ""]", Don't worry . We'll make it back to the camp site before dark . ,<b>ALICE:</b> Uh-oh . We don't have a flashlight . ,BOB,"You can take that back now, you are a coward."," You can use your phone's flashlight if you have one. I know it's not as good as a real flashlight, but it's better than nothing.",Where is it?,How's it going?
['What shall I call him ? ']," Oh , you may call him Uncle , or Henry . ",<b>ALICE:</b> What shall I call him ? ,BOB,the big blue cat," I don't know, but I do know that I'm going to miss him a lot.",I can't believe it is you with a child. what is causing you to have a child?,"Well, this friend is a jackass."
"[""Oh , it's getting late . I've got to run . It was nice talking to you , karren . "", ' Thanks , Tim.Nice meeting you , too . ', "" I guess we'll see just around . ""]"," Ye , I hope so.well.Take it easy . ","<b>ALICE:</b> Oh , it's getting late . I've got to run . It was nice talking to you , karren . <br><b>BOB:</b>  Thanks , Tim.Nice meeting you , too . <br><b>ALICE:</b>  I guess we'll see just around . ",BOB,How's things going?," Yeah, it was nice chatting with you too.  Have a great day!","Yeah , definitely . Take care .",You look friendly. Goodbye.
"['What ’ s the Mountaineering Club doing this weekend ? ', ' We are going to climb a cliff on the Colorado River . ', ' How hard is the climb ? ', ' It is a very difficult climb because there are not many places to put your hands and feet . ']", What did you do last week ? ,<b>ALICE:</b> What ’ s the Mountaineering Club doing this weekend ? <br><b>BOB:</b>  We are going to climb a cliff on the Colorado River . <br><b>ALICE:</b>  How hard is the climb ? <br><b>BOB:</b>  It is a very difficult climb because there are not many places to put your hands and feet . ,ALICE,This! That s the problem for a few people..," I have never been, but I have always wanted to go. Have you ever been before?",I am interested in joining your club. I have heard that you guys have climbed some pretty tough cliffs.,I think I can do it.
"[""Have you seen the tower in front of us . That's the famous Eiffel Tower . It was built in 1889 for the World's Fair . "", ' How tall is this building ? ']", It stands 320m ( 1050ft ) high and held the record as the world's tallest structure until 1930 . ,<b>ALICE:</b> Have you seen the tower in front of us . That's the famous Eiffel Tower . It was built in 1889 for the World's Fair . <br><b>BOB:</b>  How tall is this building ? ,ALICE,1 2 3, I haven't seen it in person but I've seen pictures of it. It's the tallest building in Paris.,The Eiffel Tower is 324 meters tall .,It's about 20 stories high.
"['What are the most popular sports in your country ? ', "" Swimming in summer and skating in winter.What ' s your favorite sport ? ""]", Jogging and bowling . Do you know how to practise Bungfu ? ,<b>ALICE:</b> What are the most popular sports in your country ? <br><b>BOB:</b>  Swimming in summer and skating in winter.What ' s your favorite sport ? ,ALICE,I was playing soccer. I still have a bit of work to do but it's getting there., I love swimming. It's one of my favorite recreational activities to do.,I like football and basketball but I'm not very good at them. i can also skate but i don't play in the winter because it's too cold outside.,"Swimming is my favorite sport, but I like to play golf and baseball as well."
"[""Let's play chess . "", "" I haven't played chess for a long time . "", "" That's all right , I'm a beginner . I've just learnt how to play . "", "" Look , there's a chessboard . Those two men have already finished playing . "", "" You're a very good player "", ' Not really , but once I won a prize . ']", So did I . I won a prize last week but it was a prize for beginners . ,"<b>ALICE:</b> Let's play chess . <br><b>BOB:</b>  I haven't played chess for a long time . <br><b>ALICE:</b>  That's all right , I'm a beginner . I've just learnt how to play . <br><b>BOB:</b>  Look , there's a chessboard . Those two men have already finished playing . <br><b>ALICE:</b>  You're a very good player <br><b>BOB:</b>  Not really , but once I won a prize . ",ALICE,Good for you. It's a rather impressive record., I love playing chess. It's one of the most popular board games in the world.,Congratulations ! Maybe one day I'll be able to beat you .,You must be really lucky.
"[""This is the Bell Captain's Desk . May I help you ? "", "" Yes , I've been waiting for my bags to be sent up for the last half hour . Where are they ? ""]"," I'm very sorry to hear that . May I have your name and room number , please ? ","<b>ALICE:</b> This is the Bell Captain's Desk . May I help you ? <br><b>BOB:</b>  Yes , I've been waiting for my bags to be sent up for the last half hour . Where are they ? ",ALICE,I placed the order about an hour ago, They are at the post office.  I have been waiting a long time for them to be delivered.,The bags have been put on the truck outside the airport. You will have to come back up to the baggage claim area to get them .,You're in the room right here. There's no one else there.
"['Were you in a leadership position when you were a college student ? ', ' Yes . I was president of the Student Council of our university . ', ' Did you get any honors or awards at your university ? ', ' Yes . I was elected Excellent Party Member for four academic years . ', ' Were you involved in any club activities at your university ? ', ' Yes . I was a member of the Student Poetry Society . I like writing poems in my spare time . ']", What extracurricular activities did you usually take part in at your college ? ,<b>ALICE:</b> Were you in a leadership position when you were a college student ? <br><b>BOB:</b>  Yes . I was president of the Student Council of our university . <br><b>ALICE:</b>  Did you get any honors or awards at your university ? <br><b>BOB:</b>  Yes . I was elected Excellent Party Member for four academic years . <br><b>ALICE:</b>  Were you involved in any club activities at your university ? <br><b>BOB:</b>  Yes . I was a member of the Student Poetry Society . I like writing poems in my spare time . ,ALICE,How did that help?," No, I was not.  I was just a student.  What kind of activities did you participate in?","That sounds really interesting . I've never been very good at writing poetry , but I'd love to learn how if it's something that you enjoy doing . Do you think you could teach me some tips ?",I was also a member of the Student Party. I was elected Excellent Party Member for three consecutive years.
"['Hey , Blake ! Are you still listening to Mozart ? ', ' Yes.Do you like it ? ', "" It's great . and I ' Ve heard that listening to Mozart can make you more intelligent . "", "" Really ? I've never heard that before . I just like it . "", ' Is classical music your favorite ? ', ' Yes . What about you ? ', "" I Like pop music best . Classical music is a bit too heavy for me . I can't get fully relaxed in it . "", "" Pop music doesn't have any depth for me . "", "" Yeah , that's why I can enjoy myself in it . "", ' Did you always like pop music . ', ' I think so , since I was in primary school . How long have you been interested in classical music . ', "" I didn't like it at all until I started to learn violin when I was eight . From then on . classical music has been an important part of my life . ""]"," oh , I didn't know you can play the violin . Do you still play . ","<b>ALICE:</b> Hey , Blake ! Are you still listening to Mozart ? <br><b>BOB:</b>  Yes.Do you like it ? <br><b>ALICE:</b>  It's great . and I ' Ve heard that listening to Mozart can make you more intelligent . <br><b>BOB:</b>  Really ? I've never heard that before . I just like it . <br><b>ALICE:</b>  Is classical music your favorite ? <br><b>BOB:</b>  Yes . What about you ? <br><b>ALICE:</b>  I Like pop music best . Classical music is a bit too heavy for me . I can't get fully relaxed in it . <br><b>BOB:</b>  Pop music doesn't have any depth for me . <br><b>ALICE:</b>  Yeah , that's why I can enjoy myself in it . <br><b>BOB:</b>  Did you always like pop music . <br><b>ALICE:</b>  I think so , since I was in primary school . How long have you been interested in classical music . <br><b>BOB:</b>  I didn't like it at all until I started to learn violin when I was eight . From then on . classical music has been an important part of my life . ",ALICE,W," Yes, I love classical and jazz music. They have such a rich history.",That's really cool . I've always wanted to learn how to play an instrument but I never had the time or patience for it .,I am happy to hear that. But I do think you will never like pop music like you think you will.
